EmployeeNumber,Age,Gender,MaritalStatus,BusinessTravel,Education,EducationField,Department,JobRole,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,DistanceFromHome,TrainingTimesLastYear
667,27,Male,Divorced,Travel_Rarely,1,Marketing,Sales,Sales Representative,5,4,3,0,2,0,2,3
669,21,Male,Single,Travel_Rarely,1,Technical Degree,Sales,Sales Representative,3,3,2,1,2,1,22,2
671,44,Male,Married,Travel_Rarely,4,Other,Research & Development,Manager,26,2,2,0,1,4,3,2
675,22,Male,Married,Travel_Rarely,1,Medical,Research & Development,Research Scientist,3,2,2,2,2,0,6,3
677,33,Male,Divorced,Travel_Rarely,4,Marketing,Sales,Sales Executive,6,5,0,1,2,0,8,3
679,32,Female,Married,Travel_Rarely,4,Life Sciences,Research & Development,Research Scientist,6,6,4,0,5,1,9,2
680,30,Female,Divorced,Travel_Frequently,3,Medical,Research & Development,Research Scientist,1,1,0,0,0,1,3,2
682,53,Female,Single,Travel_Rarely,1,Medical,Sales,Sales Executive,18,14,7,8,10,7,1,2
683,34,Male,Married,Travel_Rarely,5,Life Sciences,Research & Development,Research Scientist,10,10,9,8,8,1,1,4
684,45,Female,Married,Travel_Frequently,4,Life Sciences,Sales,Sales Executive,5,1,1,0,0,2,26,4
686,26,Female,Married,Travel_Rarely,3,Life Sciences,Research & Development,Laboratory Technician,3,3,2,0,2,1,6,2
689,37,Male,Married,Travel_Rarely,3,Other,Research & Development,Manufacturing Director,10,10,7,7,8,1,3,2
690,29,Female,Married,Travel_Rarely,2,Medical,Sales,Sales Executive,6,6,0,1,2,1,3,5
691,35,Male,Single,Travel_Rarely,4,Life Sciences,Research & Development,Research Scientist,17,17,11,11,8,1,6,3
692,33,Male,Divorced,Travel_Frequently,3,Life Sciences,Research & Development,Healthcare Representative,15,13,11,4,7,3,6,2
698,54,Male,Married,Travel_Rarely,4,Medical,Human Resources,Human Resources,16,9,7,7,1,2,19,1
699,36,Male,Divorced,Travel_Rarely,2,Medical,Research & Development,Manufacturing Director,13,3,2,0,2,2,9,2
700,27,Male,Single,Travel_Rarely,4,Medical,Research & Development,Research Scientist,5,4,2,1,1,0,3,0
701,20,Male,Single,Travel_Rarely,1,Medical,Research & Development,Research Scientist,1,1,0,1,1,1,10,5
702,33,Male,Single,Travel_Frequently,3,Life Sciences,Research & Development,Research Scientist,10,10,8,9,7,1,3,3
704,35,Male,Married,Non-Travel,3,Life Sciences,Research & Development,Laboratory Technician,1,1,0,0,0,1,3,3
705,23,Male,Married,Travel_Rarely,3,Medical,Research & Development,Research Scientist,5,3,2,0,2,2,4,3
707,25,Male,Married,Travel_Rarely,3,Life Sciences,Sales,Sales Executive,4,3,2,1,2,0,8,4
709,38,Female,Single,Travel_Rarely,4,Marketing,Sales,Sales Executive,8,7,7,0,5,0,7,2
710,29,Male,Divorced,Travel_Frequently,4,Life Sciences,Research & Development,Research Scientist,10,10,7,2,8,1,1,5
712,48,Male,Married,Travel_Rarely,1,Marketing,Sales,Sales Executive,12,2,2,2,2,3,2,3
714,27,Female,Divorced,Travel_Frequently,1,Medical,Sales,Sales Executive,6,6,5,0,4,1,3,3
715,37,Male,Single,Travel_Rarely,2,Life Sciences,Research & Development,Research Scientist,4,1,0,0,0,3,10,2
716,50,Male,Married,Travel_Rarely,1,Medical,Research & Development,Laboratory Technician,20,20,8,3,8,1,28,3
717,34,Female,Single,Travel_Rarely,3,Medical,Research & Development,Healthcare Representative,9,8,7,7,7,1,9,3
720,24,Female,Single,Travel_Rarely,2,Life Sciences,Sales,Sales Executive,4,2,2,2,0,9,3,3
721,39,Female,Single,Travel_Rarely,4,Technical Degree,Research & Development,Healthcare Representative,20,20,7,11,10,1,2,4
722,32,Male,Single,Travel_Rarely,3,Marketing,Sales,Sales Executive,10,10,7,0,8,1,10,2
723,50,Male,Married,Travel_Frequently,2,Technical Degree,Sales,Sales Executive,18,4,3,1,3,3,8,4
724,38,Female,Single,Travel_Rarely,4,Life Sciences,Research & Development,Healthcare Representative,10,9,7,1,8,0,1,4
725,27,Female,Married,Travel_Rarely,2,Life Sciences,Research & Development,Manufacturing Director,9,9,7,0,7,1,1,3
727,32,Female,Single,Travel_Rarely,2,Life Sciences,Research & Development,Research Director,10,7,7,7,7,3,3,6
728,47,Male,Single,Travel_Rarely,4,Marketing,Sales,Sales Executive,20,7,7,1,7,2,14,2
729,40,Male,Married,Travel_Frequently,4,Life Sciences,Sales,Sales Executive,20,18,13,1,12,5,5,2
730,53,Male,Married,Travel_Rarely,3,Life Sciences,Research & Development,Research Director,32,5,1,1,3,3,7,3
731,41,Male,Divorced,Travel_Rarely,4,Human Resources,Human Resources,Manager,23,21,6,12,6,3,10,2
732,60,Male,Single,Travel_Rarely,4,Marketing,Sales,Sales Executive,10,2,2,2,2,8,16,1
733,27,Male,Divorced,Travel_Frequently,2,Life Sciences,Research & Development,Manufacturing Director,9,9,7,1,7,1,10,4
734,41,Male,Married,Travel_Rarely,3,Human Resources,Human Resources,Manager,22,22,7,2,10,1,1,3
738,50,Male,Married,Travel_Rarely,4,Marketing,Sales,Sales Representative,4,2,2,2,2,7,8,2
741,28,Female,Single,Travel_Rarely,2,Life Sciences,Research & Development,Research Scientist,10,7,7,3,7,7,1,4
742,36,Female,Married,Non-Travel,3,Life Sciences,Research & Development,Research Director,10,8,7,0,5,9,8,2
743,38,Female,Single,Travel_Rarely,3,Life Sciences,Research & Development,Manufacturing Director,10,1,0,0,0,4,1,4
744,44,Male,Single,Non-Travel,3,Medical,Research & Development,Laboratory Technician,9,5,2,1,4,2,24,5
746,47,Female,Divorced,Travel_Frequently,3,Medical,Sales,Sales Executive,28,22,2,11,13,9,3,2
747,30,Male,Divorced,Travel_Rarely,5,Marketing,Sales,Sales Executive,10,8,7,7,7,7,27,2
749,29,Male,Single,Travel_Rarely,3,Life Sciences,Sales,Sales Representative,1,1,0,0,0,1,10,6
752,42,Male,Divorced,Travel_Frequently,3,Medical,Research & Development,Research Scientist,7,2,2,2,2,6,19,2
754,43,Male,Married,Travel_Frequently,3,Life Sciences,Sales,Sales Executive,7,2,2,2,2,3,15,5
757,34,Female,Single,Travel_Rarely,2,Medical,Research & Development,Healthcare Representative,10,5,1,4,3,3,8,2
758,23,Male,Married,Travel_Rarely,1,Medical,Research & Development,Laboratory Technician,5,4,3,0,2,1,9,2
760,39,Female,Married,Travel_Rarely,3,Human Resources,Human Resources,Human Resources,12,8,3,3,6,9,3,3
762,56,Male,Married,Travel_Rarely,3,Medical,Research & Development,Healthcare Representative,30,10,7,1,1,7,9,1
763,40,Female,Single,Travel_Rarely,1,Medical,Research & Development,Research Scientist,5,4,2,2,3,0,2,2
764,27,Female,Single,Travel_Rarely,3,Medical,Research & Development,Healthcare Representative,9,7,6,0,7,8,7,2
766,29,Male,Divorced,Travel_Rarely,3,Marketing,Sales,Sales Representative,2,2,2,2,2,1,10,2
769,53,Male,Single,Travel_Rarely,3,Life Sciences,Research & Development,Laboratory Technician,19,2,2,2,2,2,6,4
771,35,Female,Divorced,Non-Travel,4,Life Sciences,Research & Development,Healthcare Representative,16,1,0,0,0,2,2,2
772,32,Male,Married,Travel_Frequently,4,Life Sciences,Research & Development,Laboratory Technician,10,10,8,4,7,1,24,2
773,38,Male,Married,Travel_Rarely,5,Medical,Research & Development,Research Scientist,6,1,0,0,1,6,2,0
775,34,Female,Divorced,Travel_Rarely,5,Life Sciences,Research & Development,Manufacturing Director,7,0,0,0,0,3,8,3
776,52,Male,Married,Travel_Rarely,4,Marketing,Sales,Manager,34,34,6,1,16,1,3,3
780,33,Male,Single,Travel_Rarely,4,Other,Research & Development,Research Scientist,10,10,9,7,8,1,1,2
781,25,Female,Single,Travel_Rarely,1,Medical,Sales,Sales Executive,6,6,5,1,4,1,26,5
783,45,Male,Single,Travel_Rarely,2,Technical Degree,Sales,Sales Representative,9,8,7,3,1,0,2,3
784,23,Male,Single,Travel_Rarely,1,Medical,Research & Development,Research Scientist,2,2,2,0,2,1,10,3
785,47,Female,Single,Travel_Frequently,2,Life Sciences,Sales,Sales Executive,8,5,4,1,3,4,27,2
786,34,Male,Single,Travel_Rarely,3,Other,Sales,Sales Executive,6,6,5,1,4,1,2,5
787,55,Male,Married,Travel_Rarely,3,Medical,Research & Development,Manager,24,5,2,1,4,5,2,2
789,36,Male,Single,Non-Travel,4,Life Sciences,Sales,Sales Executive,10,10,7,0,9,1,8,1
791,52,Male,Married,Non-Travel,4,Medical,Research & Development,Research Scientist,5,4,3,1,2,0,19,3
792,26,Female,Divorced,Travel_Frequently,2,Life Sciences,Research & Development,Laboratory Technician,5,2,2,2,0,3,1,2
793,29,Female,Married,Travel_Rarely,3,Medical,Research & Development,Healthcare Representative,11,8,7,1,1,4,27,3
796,26,Male,Single,Travel_Rarely,3,Technical Degree,Sales,Sales Executive,6,4,3,1,2,6,8,2
797,34,Female,Single,Travel_Rarely,4,Life Sciences,Research & Development,Research Scientist,10,4,2,1,3,2,1,2
799,54,Female,Divorced,Travel_Rarely,4,Medical,Research & Development,Manufacturing Director,9,5,3,1,4,9,19,4
800,27,Male,Married,Travel_Frequently,1,Marketing,Sales,Sales Executive,5,4,2,1,1,0,8,3
802,37,Female,Divorced,Travel_Rarely,1,Life Sciences,Research & Development,Research Scientist,6,5,3,4,3,0,10,3
803,38,Female,Single,Travel_Frequently,4,Life Sciences,Research & Development,Manufacturing Director,17,15,7,4,12,6,2,2
804,34,Female,Single,Travel_Rarely,4,Medical,Research & Development,Research Scientist,6,6,5,1,3,1,2,3
805,35,Female,Married,Travel_Rarely,4,Life Sciences,Sales,Sales Representative,3,3,2,0,2,1,8,1
806,30,Male,Married,Travel_Rarely,3,Life Sciences,Research & Development,Laboratory Technician,7,2,2,0,2,3,1,2
807,40,Female,Married,Travel_Frequently,2,Medical,Research & Development,Healthcare Representative,8,8,7,3,7,1,2,2
808,34,Female,Married,Travel_Rarely,2,Life Sciences,Sales,Sales Executive,6,3,2,1,2,5,8,1
809,42,Male,Divorced,Travel_Frequently,3,Life Sciences,Research & Development,Manager,24,24,7,14,9,1,8,4
811,23,Male,Married,Travel_Rarely,3,Life Sciences,Research & Development,Laboratory Technician,1,0,0,0,0,1,6,2
812,24,Male,Divorced,Non-Travel,3,Life Sciences,Research & Development,Laboratory Technician,1,1,0,0,0,1,9,4
813,52,Female,Married,Travel_Rarely,4,Life Sciences,Research & Development,Laboratory Technician,9,5,2,1,4,8,11,3
815,50,Male,Married,Travel_Rarely,3,Medical,Research & Development,Research Director,30,4,3,0,3,5,2,3
816,29,Female,Married,Travel_Rarely,2,Life Sciences,Research & Development,Laboratory Technician,1,1,0,0,0,1,1,1
817,33,Male,Married,Travel_Rarely,3,Medical,Research & Development,Research Director,14,13,9,3,7,0,7,3
819,33,Female,Single,Travel_Rarely,3,Marketing,Sales,Sales Executive,6,3,2,0,2,5,16,3
820,47,Female,Married,Travel_Rarely,2,Other,Research & Development,Manager,26,26,14,3,0,1,2,3
823,36,Female,Married,Travel_Rarely,3,Other,Research & Development,Manufacturing Director,10,9,7,0,5,0,1,2
824,29,Male,Married,Travel_Rarely,2,Life Sciences,Research & Development,Research Scientist,10,10,7,0,7,1,23,3
825,58,Male,Single,Travel_Rarely,4,Life Sciences,Research & Development,Research Director,40,31,15,13,8,7,2,2
826,35,Female,Single,Travel_Rarely,4,Life Sciences,Research & Development,Research Scientist,7,2,2,2,2,3,1,0
827,42,Female,Married,Travel_Rarely,2,Life Sciences,Research & Development,Manufacturing Director,8,4,3,0,2,9,1,4
828,28,Male,Single,Travel_Rarely,4,Medical,Research & Development,Research Scientist,5,2,2,2,1,6,2,3
829,36,Male,Married,Travel_Rarely,3,Human Resources,Human Resources,Human Resources,8,5,2,0,4,4,13,2
830,32,Female,Married,Travel_Rarely,3,Life Sciences,Research & Development,Manufacturing Director,14,14,13,6,8,1,4,3
832,40,Male,Single,Travel_Frequently,4,Medical,Research & Development,Laboratory Technician,10,1,0,0,0,6,16,6
833,30,Female,Single,Travel_Rarely,3,Medical,Research & Development,Manufacturing Director,12,0,0,0,0,5,2,4
834,45,Female,Single,Travel_Rarely,3,Life Sciences,Research & Development,Research Scientist,1,1,0,0,0,1,2,3
836,42,Male,Married,Travel_Rarely,3,Life Sciences,Research & Development,Manufacturing Director,10,9,8,7,8,1,29,3
837,38,Male,Divorced,Travel_Frequently,3,Life Sciences,Research & Development,Healthcare Representative,13,4,3,1,2,2,12,3
838,34,Female,Single,Travel_Frequently,4,Life Sciences,Research & Development,Research Scientist,6,5,2,1,3,1,16,3
840,49,Female,Married,Travel_Rarely,3,Marketing,Sales,Sales Executive,9,9,8,7,7,1,11,3
842,55,Male,Single,Travel_Rarely,1,Medical,Sales,Sales Executive,12,9,7,7,3,4,2,3
843,43,Male,Married,Travel_Rarely,2,Life Sciences,Research & Development,Research Director,22,4,1,1,0,6,14,3
844,27,Male,Divorced,Travel_Rarely,1,Technical Degree,Research & Development,Research Director,9,9,8,0,8,1,5,3
845,35,Male,Single,Travel_Rarely,3,Other,Research & Development,Manufacturing Director,17,8,5,1,6,3,7,3
846,28,Female,Married,Travel_Rarely,4,Marketing,Sales,Sales Executive,8,8,7,7,5,1,2,2
847,34,Male,Married,Travel_Rarely,2,Human Resources,Human Resources,Human Resources,4,3,2,0,2,0,3,1
848,26,Female,Married,Travel_Frequently,2,Medical,Research & Development,Research Scientist,8,8,7,1,7,1,5,2
850,27,Male,Married,Non-Travel,3,Medical,Research & Development,Research Scientist,0,0,0,0,0,1,3,6
851,51,Female,Married,Travel_Rarely,4,Marketing,Sales,Manager,29,20,6,4,17,2,26,2
852,44,Male,Single,Travel_Rarely,3,Medical,Research & Development,Healthcare Representative,10,5,2,2,3,9,4,2
854,25,Male,Single,Travel_Rarely,1,Medical,Research & Development,Research Scientist,6,4,3,0,1,7,2,3
855,33,Male,Divorced,Travel_Rarely,3,Medical,Sales,Sales Executive,9,9,8,0,8,1,1,5
856,35,Female,Single,Travel_Rarely,1,Medical,Research & Development,Research Scientist,6,6,5,1,1,1,27,3
857,36,Male,Married,Travel_Rarely,2,Life Sciences,Sales,Sales Executive,18,18,14,4,11,1,1,1
859,32,Male,Divorced,Travel_Rarely,4,Life Sciences,Sales,Sales Executive,8,5,2,0,3,2,13,3
861,30,Male,Divorced,Travel_Frequently,4,Life Sciences,Research & Development,Research Scientist,10,5,4,0,3,9,5,3
862,53,Female,Married,Travel_Rarely,2,Marketing,Sales,Sales Executive,35,5,2,0,4,7,7,3
864,45,Male,Divorced,Travel_Rarely,3,Marketing,Sales,Sales Executive,18,5,4,0,2,4,9,2
865,32,Female,Married,Travel_Rarely,2,Medical,Research & Development,Research Scientist,9,5,3,1,3,5,8,3
867,52,Female,Married,Travel_Frequently,4,Medical,Research & Development,Manufacturing Director,31,9,8,0,0,3,25,3
868,37,Male,Divorced,Travel_Rarely,4,Marketing,Sales,Sales Executive,9,1,0,0,0,4,16,2
869,28,Male,Divorced,Travel_Rarely,2,Medical,Human Resources,Human Resources,6,5,1,0,4,1,8,6
872,22,Male,Married,Travel_Rarely,2,Life Sciences,Research & Development,Manufacturing Director,4,2,2,2,2,6,1,2
874,44,Male,Married,Travel_Rarely,4,Life Sciences,Research & Development,Laboratory Technician,10,3,2,0,2,2,8,2
875,42,Male,Single,Travel_Frequently,1,Medical,Research & Development,Research Scientist,8,2,1,2,2,5,2,2
878,36,Male,Married,Travel_Rarely,3,Life Sciences,Human Resources,Human Resources,6,5,4,0,3,0,8,3
879,25,Male,Married,Travel_Rarely,1,Other,Sales,Sales Executive,5,5,3,0,3,1,3,3
880,35,Female,Married,Travel_Rarely,3,Life Sciences,Research & Development,Manufacturing Director,17,17,14,5,15,1,9,2
881,35,Female,Divorced,Travel_Frequently,4,Life Sciences,Research & Development,Research Scientist,10,10,2,7,8,1,25,3
882,32,Male,Divorced,Non-Travel,3,Life Sciences,Research & Development,Laboratory Technician,4,3,0,0,2,0,1,2
885,25,Male,Married,Travel_Rarely,1,Marketing,Sales,Sales Executive,5,5,2,0,3,1,4,1
887,49,Female,Married,Travel_Rarely,3,Technical Degree,Research & Development,Research Scientist,7,4,2,0,2,2,1,2
888,24,Male,Married,Non-Travel,1,Life Sciences,Research & Development,Laboratory Technician,6,5,2,3,4,0,4,2
889,32,Male,Married,Travel_Frequently,2,Life Sciences,Sales,Sales Executive,10,10,8,5,3,1,5,3
893,38,Male,Married,Travel_Rarely,3,Marketing,Sales,Sales Representative,3,2,2,1,2,0,9,3
894,42,Female,Married,Travel_Rarely,3,Life Sciences,Research & Development,Laboratory Technician,17,5,3,1,3,2,3,1
895,31,Male,Married,Travel_Rarely,4,Life Sciences,Research & Development,Research Scientist,8,6,4,0,2,3,11,2
896,29,Female,Divorced,Travel_Rarely,3,Medical,Sales,Sales Representative,5,3,2,0,2,6,1,3
897,53,Male,Married,Travel_Rarely,3,Marketing,Sales,Sales Executive,28,2,0,2,2,5,8,3
899,35,Male,Married,Travel_Rarely,3,Technical Degree,Research & Development,Manufacturing Director,16,13,10,4,8,3,25,2
900,37,Female,Married,Travel_Frequently,2,Medical,Sales,Sales Representative,10,5,4,0,0,5,21,3
901,53,Female,Single,Travel_Rarely,4,Life Sciences,Research & Development,Research Director,33,12,9,3,8,6,23,0
902,43,Female,Married,Travel_Frequently,3,Life Sciences,Research & Development,Healthcare Representative,12,5,2,2,2,4,1,2
903,47,Female,Married,Travel_Rarely,2,Marketing,Sales,Sales Executive,8,7,6,7,7,0,2,2
904,37,Male,Single,Non-Travel,2,Medical,Sales,Sales Executive,10,10,0,0,9,1,19,2
905,50,Male,Divorced,Non-Travel,4,Life Sciences,Research & Development,Manager,31,31,6,14,7,1,2,3
909,39,Female,Married,Travel_Rarely,3,Life Sciences,Human Resources,Human Resources,13,5,4,0,4,8,2,2
910,33,Male,Divorced,Travel_Rarely,2,Human Resources,Human Resources,Human Resources,7,4,3,0,3,3,3,4
911,32,Male,Single,Travel_Rarely,4,Life Sciences,Research & Development,Laboratory Technician,1,1,0,0,1,1,25,2
912,29,Female,Divorced,Travel_Rarely,1,Medical,Research & Development,Laboratory Technician,8,4,3,0,3,6,7,5
913,44,Male,Married,Travel_Rarely,2,Life Sciences,Research & Development,Research Scientist,8,8,7,7,1,1,9,0
916,28,Male,Single,Travel_Rarely,4,Medical,Sales,Sales Executive,4,4,2,0,2,1,5,3
918,58,Male,Divorced,Travel_Frequently,1,Life Sciences,Research & Development,Laboratory Technician,3,1,0,0,0,9,2,3
920,43,Female,Divorced,Travel_Rarely,3,Life Sciences,Research & Development,Manufacturing Director,4,1,0,0,0,4,8,2
922,20,Female,Single,Travel_Rarely,3,Medical,Sales,Sales Representative,2,2,2,0,2,1,2,3
923,21,Female,Single,Travel_Rarely,1,Other,Research & Development,Research Scientist,1,1,0,0,0,1,18,3
924,36,Male,Married,Travel_Rarely,1,Life Sciences,Research & Development,Healthcare Representative,17,16,8,4,11,0,14,2
925,47,Female,Single,Travel_Rarely,4,Life Sciences,Sales,Sales Representative,3,3,2,1,2,1,2,3
926,22,Female,Married,Travel_Rarely,1,Life Sciences,Research & Development,Manufacturing Director,4,3,2,0,2,0,3,3
927,41,Female,Divorced,Travel_Rarely,4,Life Sciences,Research & Development,Laboratory Technician,10,7,7,1,0,4,2,1
930,28,Female,Divorced,Travel_Rarely,3,Medical,Research & Development,Research Scientist,6,2,2,2,2,5,9,2
932,39,Male,Married,Travel_Rarely,3,Medical,Research & Development,Laboratory Technician,8,2,2,2,2,7,6,2
933,27,Female,Single,Travel_Rarely,3,Life Sciences,Research & Development,Research Scientist,1,1,1,0,0,1,4,2
934,34,Male,Divorced,Travel_Rarely,3,Life Sciences,Research & Development,Laboratory Technician,1,1,0,1,0,1,10,3
936,42,Female,Single,Travel_Rarely,2,Medical,Sales,Sales Executive,10,5,4,0,3,7,14,6
939,33,Male,Single,Travel_Rarely,4,Other,Research & Development,Research Scientist,6,3,2,0,2,3,1,1
940,58,Female,Divorced,Travel_Rarely,3,Technical Degree,Research & Development,Healthcare Representative,24,6,0,0,4,2,5,3
941,31,Male,Married,Travel_Rarely,4,Life Sciences,Sales,Sales Representative,13,7,7,5,2,3,7,2
942,35,Female,Married,Travel_Rarely,1,Life Sciences,Research & Development,Healthcare Representative,10,10,6,0,7,1,21,2
944,49,Female,Married,Travel_Rarely,2,Other,Research & Development,Laboratory Technician,29,26,9,1,7,4,8,3
945,48,Male,Married,Travel_Rarely,4,Medical,Research & Development,Research Scientist,13,0,0,0,0,4,20,2
947,31,Female,Married,Non-Travel,2,Marketing,Sales,Sales Executive,9,9,8,0,0,1,20,2
949,36,Male,Single,Travel_Rarely,4,Other,Research & Development,Research Scientist,8,6,2,0,1,2,7,6
950,38,Female,Married,Travel_Rarely,3,Technical Degree,Research & Development,Research Director,15,15,12,5,11,1,1,3
951,32,Female,Married,Non-Travel,3,Life Sciences,Research & Development,Laboratory Technician,5,3,0,0,2,6,1,3
952,25,Male,Married,Travel_Rarely,2,Marketing,Sales,Sales Representative,1,1,0,0,0,1,19,2
954,40,Male,Divorced,Travel_Rarely,4,Marketing,Sales,Sales Executive,11,1,0,0,0,2,10,2
956,26,Male,Single,Travel_Frequently,3,Medical,Sales,Sales Executive,7,7,7,0,7,1,1,2
957,41,Male,Single,Travel_Rarely,3,Medical,Research & Development,Laboratory Technician,20,18,13,2,17,2,6,3
958,36,Male,Single,Travel_Rarely,4,Medical,Research & Development,Laboratory Technician,16,11,8,3,9,4,2,6
959,19,Male,Single,Travel_Rarely,3,Other,Sales,Sales Representative,1,1,0,0,0,1,21,3
960,20,Male,Single,Travel_Rarely,3,Technical Degree,Research & Development,Laboratory Technician,1,1,0,0,0,1,4,2
961,31,Female,Married,Travel_Rarely,3,Medical,Research & Development,Healthcare Representative,10,9,7,8,5,0,12,2
964,40,Male,Divorced,Travel_Frequently,4,Medical,Research & Development,Research Scientist,3,1,1,0,0,8,9,2
966,32,Female,Married,Travel_Rarely,4,Medical,Research & Development,Manufacturing Director,8,8,7,6,3,1,3,2
967,36,Male,Married,Travel_Rarely,1,Life Sciences,Sales,Sales Executive,16,16,7,3,7,1,3,6
969,33,Female,Single,Travel_Rarely,3,Life Sciences,Research & Development,Healthcare Representative,6,5,0,1,4,0,1,3
970,37,Male,Married,Travel_Rarely,4,Life Sciences,Sales,Sales Executive,17,14,1,11,7,5,1,2
972,45,Male,Married,Non-Travel,2,Life Sciences,Research & Development,Laboratory Technician,9,9,7,0,8,1,4,5
974,29,Female,Married,Travel_Frequently,3,Technical Degree,Sales,Sales Representative,3,3,1,0,2,1,20,5
975,35,Female,Married,Travel_Rarely,3,Medical,Sales,Sales Executive,5,5,2,1,0,1,18,3
976,52,Male,Married,Travel_Rarely,2,Life Sciences,Research & Development,Manager,26,9,8,7,8,2,1,2
977,58,Male,Single,Travel_Rarely,3,Technical Degree,Research & Development,Research Scientist,7,1,0,0,0,4,2,4
981,53,Male,Divorced,Travel_Rarely,2,Medical,Sales,Manager,22,17,13,15,2,6,2,3
982,30,Male,Divorced,Travel_Rarely,2,Other,Sales,Sales Executive,10,8,4,7,7,5,8,2
983,38,Female,Single,Non-Travel,3,Technical Degree,Sales,Sales Executive,6,5,3,1,3,1,10,1
984,35,Male,Divorced,Travel_Rarely,4,Life Sciences,Sales,Sales Executive,12,10,9,0,8,6,3,2
985,39,Male,Single,Travel_Rarely,5,Life Sciences,Sales,Sales Executive,9,8,7,0,7,0,2,3
986,40,Female,Single,Non-Travel,3,Life Sciences,Sales,Sales Executive,22,1,0,0,0,4,24,2
987,47,Male,Divorced,Travel_Frequently,4,Medical,Research & Development,Manufacturing Director,20,19,10,2,7,1,16,3
990,36,Male,Divorced,Non-Travel,4,Technical Degree,Sales,Sales Executive,12,7,7,0,7,4,8,3
991,31,Male,Single,Non-Travel,2,Medical,Research & Development,Research Scientist,4,3,2,1,2,0,9,0
992,33,Male,Single,Non-Travel,3,Life Sciences,Sales,Manager,10,10,8,6,0,1,17,2
994,29,Female,Single,Travel_Rarely,3,Life Sciences,Research & Development,Research Scientist,3,0,0,0,0,6,10,5
995,33,Female,Single,Travel_Rarely,1,Life Sciences,Research & Development,Research Scientist,5,3,2,0,2,3,13,4
996,45,Female,Divorced,Travel_Rarely,4,Medical,Research & Development,Laboratory Technician,8,5,3,0,2,3,1,2
997,50,Male,Divorced,Travel_Rarely,2,Medical,Research & Development,Research Director,32,5,4,1,3,9,1,1
998,33,Female,Married,Travel_Frequently,4,Other,Research & Development,Healthcare Representative,6,6,5,1,2,1,1,2
999,41,Male,Divorced,Travel_Frequently,3,Medical,Research & Development,Research Director,21,18,16,0,11,2,9,2
1001,27,Female,Married,Travel_Rarely,4,Technical Degree,Research & Development,Laboratory Technician,4,2,2,2,2,9,16,2
1002,45,Male,Married,Non-Travel,2,Life Sciences,Research & Development,Laboratory Technician,9,9,8,0,8,1,23,2
1003,47,Female,Single,Travel_Rarely,2,Life Sciences,Sales,Sales Executive,9,9,0,0,7,1,4,0
1004,30,Female,Married,Travel_Rarely,3,Life Sciences,Research & Development,Research Scientist,7,5,2,0,1,4,22,2
1005,50,Male,Married,Travel_Rarely,3,Life Sciences,Research & Development,Manufacturing Director,22,12,11,1,5,3,24,2
1006,38,Male,Married,Travel_Frequently,1,Medical,Research & Development,Research Scientist,3,2,1,0,2,0,10,0
1007,46,Male,Divorced,Travel_Rarely,2,Medical,Research & Development,Manufacturing Director,13,8,7,0,7,6,7,3
1009,24,Female,Divorced,Travel_Rarely,1,Medical,Research & Development,Manufacturing Director,5,4,2,3,2,1,17,6
1010,35,Male,Divorced,Travel_Rarely,4,Other,Research & Development,Laboratory Technician,5,4,2,0,2,1,14,2
1011,31,Female,Married,Travel_Frequently,1,Life Sciences,Research & Development,Manufacturing Director,4,4,3,0,3,1,1,1
1012,18,Male,Single,Non-Travel,2,Life Sciences,Research & Development,Research Scientist,0,0,0,0,0,1,5,2
1013,54,Female,Married,Travel_Rarely,3,Technical Degree,Research & Development,Manufacturing Director,22,10,7,0,8,8,17,2
1014,35,Female,Divorced,Travel_Rarely,4,Medical,Research & Development,Healthcare Representative,16,16,10,10,1,1,25,3
1015,30,Female,Married,Travel_Rarely,2,Life Sciences,Research & Development,Research Director,9,8,7,1,7,0,8,4
1016,20,Female,Single,Travel_Rarely,3,Medical,Research & Development,Research Scientist,1,1,0,0,0,1,11,2
1017,30,Female,Single,Travel_Frequently,3,Medical,Research & Development,Laboratory Technician,4,3,2,1,2,0,5,3
1018,26,Male,Married,Travel_Rarely,2,Medical,Research & Development,Manufacturing Director,8,8,7,1,3,1,2,2
1019,22,Male,Married,Travel_Rarely,1,Life Sciences,Research & Development,Laboratory Technician,4,4,3,1,1,1,8,3
1022,48,Male,Single,Travel_Rarely,3,Life Sciences,Research & Development,Healthcare Representative,19,2,2,2,2,2,6,0
1024,48,Male,Single,Travel_Rarely,4,Life Sciences,Research & Development,Healthcare Representative,27,15,11,4,8,7,4,3
1025,41,Female,Single,Travel_Rarely,2,Medical,Research & Development,Manufacturing Director,8,2,2,2,1,6,7,6
1026,39,Female,Married,Travel_Rarely,1,Life Sciences,Research & Development,Manufacturing Director,21,21,6,11,8,1,1,3
1027,27,Female,Married,Travel_Rarely,4,Life Sciences,Research & Development,Manufacturing Director,4,3,2,2,2,0,2,2
1028,35,Male,Divorced,Travel_Rarely,3,Other,Research & Development,Laboratory Technician,3,3,2,1,2,1,10,4
1029,42,Male,Married,Travel_Rarely,2,Marketing,Sales,Manager,21,1,0,0,0,6,5,3
1030,50,Male,Married,Travel_Rarely,3,Life Sciences,Research & Development,Laboratory Technician,8,1,0,0,0,4,9,5
