EmployeeNumber,EmployeeCount,Age,Gender,MaritalStatus,Over18,Department,JobRole,JobLevel,JobInvolvement,JobSatisfaction,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,MonthlyIncome,MonthlyRate,HourlyRate,DailyRate,PercentSalaryHike,StockOptionLevel,OverTime,PerformanceRating,EnvironmentSatisfaction,WorkLifeBalance,RelationshipSatisfaction,Education,EducationField,TrainingTimesLastYear,DistanceFromHome,BusinessTravel,StandardHours,Attrition
970,1,37,Male,Married,Y,Sales,Sales Executive,3,2,3,17,14,1,11,7,5,10609,14922,46,625,11,0,No,3,1,1,3,4,Life Sciences,2,1,Travel_Rarely,80,Yes
972,1,45,Male,Married,Y,Research & Development,Laboratory Technician,2,3,2,9,9,7,0,8,1,4447,23163,57,805,12,0,No,3,3,2,2,2,Life Sciences,5,4,Non-Travel,80,No
974,1,29,Female,Married,Y,Sales,Sales Representative,1,3,4,3,3,1,0,2,1,2157,18203,84,1404,15,1,No,3,3,3,2,3,Technical Degree,5,20,Travel_Frequently,80,No
975,1,35,Female,Married,Y,Sales,Sales Executive,2,3,3,5,5,2,1,0,1,4601,6179,86,1219,16,0,No,3,3,3,2,3,Medical,3,18,Travel_Rarely,80,No
976,1,52,Male,Married,Y,Research & Development,Manager,4,3,4,26,9,8,7,8,2,17099,13829,70,1053,15,1,No,3,4,2,2,2,Life Sciences,2,1,Travel_Rarely,80,No
977,1,58,Male,Single,Y,Research & Development,Research Scientist,1,3,3,7,1,0,0,0,4,2479,26227,51,289,24,0,No,4,4,3,1,3,Technical Degree,4,2,Travel_Rarely,80,Yes
981,1,53,Male,Divorced,Y,Sales,Manager,4,3,3,22,17,13,15,2,6,14852,13938,45,1376,13,1,No,3,3,4,3,2,Medical,3,2,Travel_Rarely,80,No
982,1,30,Male,Divorced,Y,Sales,Sales Executive,3,3,3,10,8,4,7,7,5,7264,9977,62,231,11,1,No,3,3,4,1,2,Other,2,8,Travel_Rarely,80,No
983,1,38,Female,Single,Y,Sales,Sales Executive,2,3,4,6,5,3,1,3,1,5666,19899,85,152,13,0,Yes,3,3,3,2,3,Technical Degree,1,10,Non-Travel,80,No
984,1,35,Male,Divorced,Y,Sales,Sales Executive,3,3,4,12,10,9,0,8,6,7823,6812,92,882,13,1,No,3,4,3,2,4,Life Sciences,2,3,Travel_Rarely,80,No
985,1,39,Male,Single,Y,Sales,Sales Executive,3,4,3,9,8,7,0,7,0,7880,2560,41,903,18,0,No,3,1,3,4,5,Life Sciences,3,2,Travel_Rarely,80,No
986,1,40,Female,Single,Y,Sales,Sales Executive,4,4,2,22,1,0,0,0,4,13194,17071,100,1479,16,0,Yes,3,2,2,4,3,Life Sciences,2,24,Non-Travel,80,Yes
987,1,47,Male,Divorced,Y,Research & Development,Manufacturing Director,2,4,3,20,19,10,2,7,1,5067,6759,64,1379,19,0,Yes,3,3,4,3,4,Medical,3,16,Travel_Frequently,80,No
990,1,36,Male,Divorced,Y,Sales,Sales Executive,2,3,4,12,7,7,0,7,4,5079,25952,84,1229,13,2,No,3,1,3,4,4,Technical Degree,3,8,Non-Travel,80,No
991,1,31,Male,Single,Y,Research & Development,Research Scientist,1,2,1,4,3,2,1,2,0,2321,10322,46,335,22,0,Yes,4,3,3,1,2,Medical,0,9,Non-Travel,80,Yes
992,1,33,Male,Single,Y,Sales,Manager,4,3,3,10,10,8,6,0,1,17444,20489,38,722,11,0,No,3,4,3,4,3,Life Sciences,2,17,Non-Travel,80,No
994,1,29,Female,Single,Y,Research & Development,Research Scientist,1,2,1,3,0,0,0,0,6,2404,11479,92,906,20,0,Yes,4,4,3,3,3,Life Sciences,5,10,Travel_Rarely,80,Yes
995,1,33,Female,Single,Y,Research & Development,Research Scientist,1,3,4,5,3,2,0,2,3,3452,17241,53,461,18,0,No,3,2,3,1,1,Life Sciences,4,13,Travel_Rarely,80,No
996,1,45,Female,Divorced,Y,Research & Development,Laboratory Technician,1,3,4,8,5,3,0,2,3,2270,11005,91,974,14,2,No,3,4,3,4,4,Medical,2,1,Travel_Rarely,80,No
997,1,50,Male,Divorced,Y,Research & Development,Research Director,4,3,4,32,5,4,1,3,9,17399,6615,66,1126,22,1,No,4,4,2,3,2,Medical,1,1,Travel_Rarely,80,No
998,1,33,Female,Married,Y,Research & Development,Healthcare Representative,2,4,2,6,6,5,1,2,1,5488,20161,84,827,13,1,Yes,3,3,3,1,4,Other,2,1,Travel_Frequently,80,No
999,1,41,Male,Divorced,Y,Research & Development,Research Director,5,3,3,21,18,16,0,11,2,19419,3735,64,840,17,1,No,3,1,4,2,3,Medical,2,9,Travel_Frequently,80,No
1001,1,27,Female,Married,Y,Research & Development,Laboratory Technician,1,3,2,4,2,2,2,2,9,2811,12086,37,1134,14,1,No,3,3,3,2,4,Technical Degree,2,16,Travel_Rarely,80,No
1002,1,45,Male,Married,Y,Research & Development,Laboratory Technician,2,3,1,9,9,8,0,8,1,3633,14039,42,248,15,1,Yes,3,4,3,3,2,Life Sciences,2,23,Non-Travel,80,No
1003,1,47,Female,Single,Y,Sales,Sales Executive,2,3,4,9,9,0,0,7,1,4163,8571,83,955,17,0,Yes,3,4,3,3,2,Life Sciences,0,4,Travel_Rarely,80,No
1004,1,30,Female,Married,Y,Research & Development,Research Scientist,1,3,3,7,5,2,0,1,4,2132,11539,48,138,11,0,Yes,3,1,3,2,3,Life Sciences,2,22,Travel_Rarely,80,Yes
1005,1,50,Male,Married,Y,Research & Development,Manufacturing Director,4,3,3,22,12,11,1,5,3,13973,4161,95,939,18,1,Yes,3,4,3,4,3,Life Sciences,2,24,Travel_Rarely,80,No
1006,1,38,Male,Married,Y,Research & Development,Research Scientist,1,3,3,3,2,1,0,2,0,2684,12127,66,1391,17,1,No,3,3,2,2,1,Medical,0,10,Travel_Frequently,80,No
1007,1,46,Male,Divorced,Y,Research & Development,Manufacturing Director,3,3,3,13,8,7,0,7,6,10845,24208,75,566,13,1,No,3,4,3,2,2,Medical,3,7,Travel_Rarely,80,No
1009,1,24,Female,Divorced,Y,Research & Development,Manufacturing Director,2,2,3,5,4,2,3,2,1,4377,24117,41,1206,15,2,No,3,4,3,2,1,Medical,6,17,Travel_Rarely,80,No
1010,1,35,Male,Divorced,Y,Research & Development,Laboratory Technician,1,2,2,5,4,2,0,2,1,3743,10074,39,622,24,1,Yes,4,3,1,4,4,Other,2,14,Travel_Rarely,80,Yes
1011,1,31,Female,Married,Y,Research & Development,Manufacturing Director,2,3,1,4,4,3,0,3,1,4148,11275,96,853,12,1,No,3,3,3,3,1,Life Sciences,1,1,Travel_Frequently,80,No
1012,1,18,Male,Single,Y,Research & Development,Research Scientist,1,3,4,0,0,0,0,0,1,1051,13493,73,287,15,0,No,3,2,3,4,2,Life Sciences,2,5,Non-Travel,80,No
1013,1,54,Female,Married,Y,Research & Development,Manufacturing Director,3,3,3,22,10,7,0,8,8,10739,13943,56,1441,11,1,No,3,3,3,3,3,Technical Degree,2,17,Travel_Rarely,80,No
1014,1,35,Female,Divorced,Y,Research & Development,Healthcare Representative,3,3,3,16,16,10,10,1,1,10388,6975,57,583,11,1,Yes,3,3,2,3,4,Medical,3,25,Travel_Rarely,80,No
1015,1,30,Female,Married,Y,Research & Development,Research Director,3,4,1,9,8,7,1,7,0,11416,17802,73,153,12,3,Yes,3,2,2,3,2,Life Sciences,4,8,Travel_Rarely,80,No
1016,1,20,Female,Single,Y,Research & Development,Research Scientist,1,2,1,1,1,0,0,0,1,2600,18275,98,1097,15,0,Yes,3,4,3,1,3,Medical,2,11,Travel_Rarely,80,Yes
1017,1,30,Female,Single,Y,Research & Development,Laboratory Technician,1,3,2,4,3,2,1,2,0,2422,25725,60,109,17,0,No,3,2,3,1,3,Medical,3,5,Travel_Frequently,80,Yes
1018,1,26,Male,Married,Y,Research & Development,Manufacturing Director,2,4,4,8,8,7,1,3,1,5472,3334,32,1066,12,0,No,3,4,3,2,2,Medical,2,2,Travel_Rarely,80,No
1019,1,22,Male,Married,Y,Research & Development,Laboratory Technician,1,1,1,4,4,3,1,1,1,2451,6881,94,217,15,1,No,3,2,2,1,1,Life Sciences,3,8,Travel_Rarely,80,No
1022,1,48,Male,Single,Y,Research & Development,Healthcare Representative,2,2,3,19,2,2,2,2,2,4240,13119,97,277,13,0,No,3,1,3,4,3,Life Sciences,0,6,Travel_Rarely,80,No
1024,1,48,Male,Single,Y,Research & Development,Healthcare Representative,3,2,3,27,15,11,4,8,7,10999,22245,78,1355,14,0,No,3,3,3,2,4,Life Sciences,3,4,Travel_Rarely,80,No
1025,1,41,Female,Single,Y,Research & Development,Manufacturing Director,2,3,3,8,2,2,2,1,6,5003,23371,42,549,14,0,No,3,4,3,2,2,Medical,6,7,Travel_Rarely,80,No
1026,1,39,Female,Married,Y,Research & Development,Manufacturing Director,4,2,4,21,21,6,11,8,1,12742,7060,65,466,16,1,No,3,4,3,3,1,Life Sciences,3,1,Travel_Rarely,80,No
1027,1,27,Female,Married,Y,Research & Development,Manufacturing Director,2,3,4,4,3,2,2,2,0,4227,4658,47,1055,18,1,No,3,1,3,2,4,Life Sciences,2,2,Travel_Rarely,80,No
1028,1,35,Male,Divorced,Y,Research & Development,Laboratory Technician,1,3,4,3,3,2,1,2,1,3917,9541,45,802,20,1,No,4,2,2,1,3,Other,4,10,Travel_Rarely,80,No
1029,1,42,Male,Married,Y,Sales,Manager,5,3,3,21,1,0,0,0,6,18303,7770,90,265,13,0,No,3,4,4,2,2,Marketing,3,5,Travel_Rarely,80,No
1030,1,50,Male,Married,Y,Research & Development,Laboratory Technician,1,3,4,8,1,0,0,0,4,2380,20165,64,804,18,0,No,3,1,3,2,3,Life Sciences,5,9,Travel_Rarely,80,No
1032,1,59,Female,Single,Y,Research & Development,Manufacturing Director,4,2,4,30,5,3,4,3,3,13726,21829,69,715,13,0,Yes,3,3,3,1,3,Life Sciences,4,2,Travel_Rarely,80,No
1033,1,37,Female,Married,Y,Research & Development,Healthcare Representative,2,1,2,15,1,0,0,0,5,4777,14382,61,1141,15,0,No,3,1,1,1,2,Medical,2,11,Travel_Rarely,80,Yes
1034,1,55,Male,Married,Y,Research & Development,Healthcare Representative,2,3,2,17,8,7,6,7,3,6385,12992,62,135,14,2,Yes,3,3,3,4,4,Medical,3,18,Travel_Frequently,80,No
1035,1,41,Female,Divorced,Y,Research & Development,Research Director,5,1,3,21,21,16,5,10,1,19973,20284,55,247,22,2,No,4,2,3,2,1,Life Sciences,3,7,Non-Travel,80,No
1036,1,38,Male,Single,Y,Sales,Sales Executive,2,3,4,19,1,0,0,0,8,6861,4981,42,1035,12,0,Yes,3,2,3,3,4,Life Sciences,1,3,Travel_Rarely,80,No
1037,1,26,Male,Single,Y,Sales,Sales Executive,2,1,1,7,2,2,2,2,8,4969,21813,79,265,18,0,No,3,2,3,4,2,Medical,6,29,Non-Travel,80,Yes
1038,1,52,Female,Married,Y,Sales,Manager,5,1,4,33,32,14,6,9,1,19845,25846,57,266,15,1,No,3,1,3,4,1,Marketing,3,2,Travel_Rarely,80,Yes
1039,1,44,Female,Married,Y,Sales,Sales Executive,4,4,4,23,12,11,11,11,3,13320,11737,53,1448,18,1,Yes,3,4,3,3,3,Medical,2,28,Travel_Rarely,80,No
1040,1,50,Female,Married,Y,Sales,Sales Executive,2,3,3,19,18,7,0,13,0,6347,24920,95,145,12,1,No,3,4,3,1,3,Life Sciences,3,1,Non-Travel,80,No
1042,1,36,Female,Single,Y,Research & Development,Laboratory Technician,1,4,1,18,17,13,15,14,1,2743,8269,43,885,16,0,No,3,3,3,3,4,Life Sciences,1,16,Travel_Rarely,80,Yes
1043,1,39,Female,Single,Y,Research & Development,Manufacturing Director,3,3,1,21,21,6,2,8,1,10880,5083,82,945,13,0,Yes,3,4,3,3,3,Medical,2,22,Travel_Frequently,80,No
1044,1,33,Female,Single,Y,Sales,Sales Representative,1,2,4,3,2,2,2,2,0,2342,21437,88,1038,19,0,No,3,2,2,4,1,Life Sciences,2,8,Non-Travel,80,No
1045,1,45,Female,Married,Y,Sales,Manager,4,3,4,26,9,3,1,1,3,17650,5404,90,1234,13,1,No,3,4,4,2,2,Life Sciences,4,11,Travel_Rarely,80,No
1046,1,32,Female,Single,Y,Research & Development,Laboratory Technician,1,3,3,10,8,7,7,7,9,4025,11135,69,1109,12,0,No,3,4,3,2,4,Medical,2,29,Non-Travel,80,No
1047,1,34,Male,Divorced,Y,Sales,Sales Executive,2,4,4,16,15,1,0,9,0,9725,12278,75,216,11,1,No,3,2,2,4,4,Marketing,2,1,Travel_Rarely,80,No
1048,1,59,Male,Married,Y,Sales,Manager,3,3,4,14,6,4,0,4,3,11904,11038,66,1089,14,1,Yes,3,2,1,3,2,Technical Degree,1,1,Travel_Rarely,80,No
1049,1,45,Male,Single,Y,Human Resources,Human Resources,1,3,2,6,6,3,0,4,1,2177,8318,36,788,16,0,No,3,2,3,1,4,Medical,3,24,Travel_Rarely,80,No
1050,1,53,Female,Married,Y,Sales,Sales Executive,3,2,2,30,15,7,6,12,2,7525,23537,38,124,12,1,No,3,3,3,1,3,Marketing,2,2,Travel_Frequently,80,No
1052,1,36,Male,Divorced,Y,Research & Development,Laboratory Technician,2,3,3,9,1,0,0,0,7,4834,7858,81,660,14,1,No,3,1,2,2,3,Other,3,15,Travel_Rarely,80,Yes
1053,1,26,Male,Married,Y,Research & Development,Research Scientist,1,3,1,6,3,2,1,2,6,2042,15346,57,342,14,1,Yes,3,1,3,2,3,Life Sciences,2,2,Travel_Frequently,80,Yes
1055,1,34,Female,Married,Y,Sales,Sales Representative,1,3,3,1,1,1,0,0,1,2220,18410,87,1333,19,1,Yes,3,3,3,4,4,Life Sciences,2,10,Travel_Rarely,80,No
1056,1,28,Male,Married,Y,Sales,Sales Representative,1,3,2,1,1,0,0,0,1,1052,23384,74,1144,22,0,No,4,4,3,2,1,Medical,5,10,Travel_Rarely,80,No
1060,1,38,Male,Married,Y,Research & Development,Research Scientist,1,3,3,8,2,2,2,2,3,2821,2997,44,1186,16,1,No,3,3,3,1,4,Other,2,3,Travel_Frequently,80,No
1061,1,50,Male,Married,Y,Research & Development,Research Director,5,3,3,29,8,1,7,7,2,19237,12853,62,1464,11,1,Yes,3,2,2,4,4,Medical,2,2,Travel_Rarely,80,No
1062,1,37,Female,Single,Y,Research & Development,Healthcare Representative,2,3,2,8,4,3,0,1,3,4107,13848,35,124,15,0,No,3,4,2,1,3,Other,3,3,Travel_Rarely,80,No
1066,1,40,Male,Married,Y,Sales,Sales Executive,2,3,1,8,7,7,7,5,1,8396,22217,74,300,14,1,No,3,3,2,2,3,Marketing,3,26,Travel_Rarely,80,No
1068,1,26,Female,Divorced,Y,Research & Development,Research Scientist,1,2,3,5,5,3,1,3,1,2007,25265,66,921,13,2,No,3,1,3,3,1,Medical,5,1,Travel_Frequently,80,No
1069,1,46,Male,Divorced,Y,Research & Development,Research Director,5,3,4,23,2,2,2,2,9,19627,21445,40,430,17,2,No,3,4,3,4,4,Medical,0,1,Travel_Rarely,80,No
1070,1,54,Female,Married,Y,Sales,Sales Executive,3,2,3,13,9,4,7,0,6,10686,8392,41,1082,11,1,No,3,3,3,2,4,Life Sciences,4,2,Travel_Rarely,80,No
1071,1,56,Female,Married,Y,Research & Development,Research Scientist,1,3,3,18,5,4,0,3,2,2942,12154,63,1240,19,1,No,3,1,3,2,3,Medical,4,9,Travel_Frequently,80,No
1073,1,36,Female,Single,Y,Research & Development,Manufacturing Director,3,2,4,15,14,8,7,8,0,8858,15669,51,796,11,0,No,3,4,2,2,5,Medical,2,12,Travel_Rarely,80,No
1074,1,55,Male,Single,Y,Research & Development,Manager,4,2,1,31,9,7,6,2,7,16756,17323,40,444,15,0,No,3,3,4,2,1,Medical,3,2,Non-Travel,80,No
1076,1,43,Male,Divorced,Y,Sales,Sales Executive,3,2,4,18,1,0,0,0,5,10798,5268,79,415,13,1,No,3,3,3,3,3,Medical,5,25,Travel_Rarely,80,No
1077,1,20,Female,Single,Y,Sales,Sales Representative,1,3,4,2,2,2,0,2,1,2323,17205,54,769,14,0,Yes,3,4,3,2,3,Marketing,3,9,Travel_Frequently,80,Yes
1079,1,21,Female,Single,Y,Research & Development,Laboratory Technician,1,2,1,1,1,0,1,0,1,1416,17258,36,1334,13,0,No,3,3,2,1,3,Life Sciences,6,10,Travel_Rarely,80,Yes
1080,1,46,Female,Divorced,Y,Research & Development,Research Scientist,2,2,1,19,16,13,1,7,8,4615,21029,74,1003,23,3,Yes,4,4,3,1,4,Life Sciences,2,8,Travel_Rarely,80,No
1081,1,51,Male,Married,Y,Research & Development,Research Scientist,1,3,3,18,10,0,2,7,9,2461,10332,34,1323,12,3,Yes,3,1,4,3,4,Life Sciences,2,4,Travel_Rarely,80,Yes
1082,1,28,Male,Single,Y,Research & Development,Healthcare Representative,3,2,1,10,10,7,1,9,1,8722,12355,72,1366,12,0,No,3,2,2,1,2,Technical Degree,2,24,Non-Travel,80,Yes
1083,1,26,Male,Married,Y,Research & Development,Laboratory Technician,1,2,1,6,5,3,1,3,1,3955,11141,59,192,16,2,No,3,1,3,1,2,Medical,2,1,Travel_Rarely,80,No
1084,1,30,Male,Married,Y,Research & Development,Manufacturing Director,2,3,1,7,6,2,0,2,0,9957,9096,85,1176,15,1,No,3,3,2,3,3,Other,1,20,Travel_Rarely,80,No
1085,1,41,Female,Married,Y,Research & Development,Research Scientist,1,4,3,10,10,6,0,8,1,3376,18863,43,509,13,0,No,3,2,3,3,2,Technical Degree,3,7,Travel_Rarely,80,No
1088,1,38,Female,Married,Y,Research & Development,Healthcare Representative,3,2,3,20,19,9,1,9,0,8823,24608,65,330,18,1,No,3,3,2,1,1,Life Sciences,4,17,Travel_Rarely,80,No
1092,1,40,Male,Married,Y,Research & Development,Healthcare Representative,3,3,4,14,11,10,11,1,4,10322,26542,61,1492,20,1,No,4,1,3,4,4,Technical Degree,6,20,Travel_Rarely,80,No
1094,1,27,Male,Married,Y,Research & Development,Laboratory Technician,1,1,3,3,3,2,1,2,1,4621,5869,87,1277,19,3,No,3,1,3,4,5,Life Sciences,4,8,Non-Travel,80,No
1096,1,55,Male,Married,Y,Research & Development,Manufacturing Director,3,3,2,23,3,2,1,2,3,10976,15813,65,1091,18,1,No,3,4,3,2,1,Life Sciences,4,2,Travel_Frequently,80,No
1097,1,28,Female,Single,Y,Research & Development,Research Scientist,2,3,3,10,8,7,1,7,3,3660,7909,59,857,13,0,No,3,3,4,4,3,Other,4,10,Travel_Rarely,80,No
1098,1,44,Male,Married,Y,Human Resources,Human Resources,3,2,1,24,20,6,3,6,9,10482,2326,91,1376,14,1,No,3,2,3,4,2,Medical,1,1,Travel_Rarely,80,Yes
1099,1,33,Male,Divorced,Y,Research & Development,Healthcare Representative,3,2,4,9,3,2,1,2,4,7119,21214,34,654,15,1,No,3,4,3,3,3,Life Sciences,2,5,Travel_Rarely,80,No
1100,1,35,Male,Single,Y,Sales,Sales Executive,3,3,1,9,8,7,4,7,0,9582,10333,86,1204,22,0,Yes,4,4,3,1,3,Technical Degree,2,4,Travel_Rarely,80,Yes
1101,1,33,Female,Single,Y,Research & Development,Research Scientist,2,2,3,14,13,7,3,8,1,4508,3129,54,827,22,0,No,4,1,3,2,4,Medical,4,29,Travel_Frequently,80,Yes
1102,1,28,Male,Divorced,Y,Research & Development,Laboratory Technician,1,3,3,4,4,2,2,2,1,2207,22482,50,895,16,1,No,3,1,2,4,2,Life Sciences,5,15,Travel_Rarely,80,No
1103,1,34,Male,Single,Y,Research & Development,Healthcare Representative,2,3,4,7,6,2,0,4,0,7756,22266,45,618,17,0,No,3,1,2,3,1,Life Sciences,1,3,Travel_Frequently,80,No
1105,1,37,Female,Divorced,Y,Sales,Sales Executive,2,2,4,8,1,0,0,0,2,6694,24223,88,309,14,3,Yes,3,4,3,3,4,Life Sciences,5,10,Travel_Rarely,80,No
1106,1,25,Male,Married,Y,Research & Development,Laboratory Technician,1,3,4,7,7,7,5,6,1,3691,4605,32,1219,15,1,Yes,3,4,4,2,1,Technical Degree,3,4,Travel_Rarely,80,Yes
1107,1,26,Male,Divorced,Y,Research & Development,Laboratory Technician,1,3,3,1,1,1,0,0,1,2377,19373,37,1330,20,1,No,4,1,2,3,3,Medical,0,21,Travel_Rarely,80,Yes
1108,1,33,Male,Single,Y,Research & Development,Research Scientist,1,2,2,5,2,2,2,2,4,2313,2993,55,1017,20,0,Yes,4,1,3,2,3,Medical,0,25,Travel_Rarely,80,Yes
1109,1,42,Male,Married,Y,Research & Development,Manager,4,3,1,23,22,6,13,7,0,17665,14399,35,469,17,1,No,3,4,3,4,2,Medical,3,2,Travel_Rarely,80,No
1111,1,28,Male,Divorced,Y,Research & Development,Laboratory Technician,1,2,2,1,1,0,0,0,1,2596,7160,45,1009,15,2,No,3,1,3,1,3,Medical,2,1,Travel_Frequently,80,Yes
1113,1,50,Male,Single,Y,Sales,Sales Executive,2,3,3,5,0,0,0,0,3,4728,17251,81,959,14,0,Yes,3,4,3,4,4,Other,4,1,Travel_Frequently,80,Yes
1114,1,33,Female,Married,Y,Sales,Sales Executive,2,3,2,4,3,2,0,2,0,4302,13401,30,970,17,1,No,3,4,3,3,3,Life Sciences,3,7,Travel_Frequently,80,No
1115,1,34,Male,Married,Y,Research & Development,Research Scientist,1,2,4,6,0,0,0,0,3,2979,22478,40,697,17,3,No,3,3,3,4,4,Life Sciences,2,3,Non-Travel,80,No
1116,1,48,Male,Single,Y,Research & Development,Manager,4,4,4,27,5,4,2,1,2,16885,16154,35,1262,22,0,No,4,1,2,3,4,Medical,3,1,Non-Travel,80,No
1117,1,45,Female,Married,Y,Sales,Sales Executive,2,2,3,15,15,10,4,12,1,5593,17970,65,1050,13,1,No,3,2,3,4,4,Life Sciences,2,9,Non-Travel,80,No
1118,1,52,Male,Single,Y,Research & Development,Healthcare Representative,3,3,2,18,8,6,4,0,7,10445,15322,87,994,19,0,No,3,2,3,4,4,Life Sciences,4,7,Travel_Rarely,80,No
1119,1,38,Male,Divorced,Y,Sales,Sales Executive,3,2,3,9,8,7,2,7,0,8740,5569,73,770,14,2,Yes,3,3,3,2,4,Marketing,2,10,Travel_Rarely,80,No
1120,1,29,Female,Divorced,Y,Research & Development,Research Scientist,1,3,4,11,7,5,1,7,4,2514,26968,93,1107,22,1,No,4,3,3,1,4,Life Sciences,1,28,Travel_Rarely,80,No
1121,1,28,Female,Divorced,Y,Research & Development,Manufacturing Director,3,3,2,10,9,7,1,7,0,7655,8039,93,950,17,3,No,3,4,2,2,3,Medical,3,3,Travel_Rarely,80,No
1124,1,46,Male,Married,Y,Sales,Manager,4,3,3,23,12,9,4,9,3,17465,15596,52,406,12,1,No,3,1,3,4,1,Marketing,3,3,Travel_Rarely,80,No
1125,1,38,Male,Single,Y,Sales,Sales Executive,3,3,2,10,1,0,0,0,7,7351,20619,32,130,16,0,No,3,4,3,3,2,Marketing,2,2,Travel_Rarely,80,No
1126,1,43,Female,Married,Y,Research & Development,Manufacturing Director,3,3,1,18,8,7,0,1,8,10820,11535,83,1082,11,1,No,3,3,3,3,3,Life Sciences,1,27,Travel_Frequently,80,No
1127,1,39,Male,Divorced,Y,Research & Development,Healthcare Representative,4,3,4,21,18,7,11,5,7,12169,13547,84,203,11,3,No,3,1,3,4,3,Life Sciences,4,2,Travel_Frequently,80,Yes
1128,1,40,Male,Single,Y,Research & Development,Research Director,5,2,3,21,20,7,4,9,1,19626,17544,44,1308,14,0,No,3,3,4,1,3,Medical,2,14,Travel_Rarely,80,No
1131,1,21,Female,Single,Y,Research & Development,Research Scientist,1,2,2,2,2,2,2,2,1,2070,25326,70,984,11,0,Yes,3,4,4,3,1,Technical Degree,6,1,Travel_Rarely,80,No
1132,1,39,Male,Single,Y,Research & Development,Laboratory Technician,2,3,2,9,5,4,0,3,9,6782,8770,70,439,15,0,No,3,3,2,3,3,Life Sciences,2,9,Non-Travel,80,No
1133,1,36,Male,Single,Y,Research & Development,Manufacturing Director,2,3,4,18,11,9,0,9,2,7779,23238,78,217,20,0,No,4,1,3,1,4,Life Sciences,0,18,Non-Travel,80,No
1135,1,31,Male,Married,Y,Sales,Sales Representative,1,4,4,3,2,2,2,2,0,2791,21981,67,793,12,1,No,3,3,3,1,3,Life Sciences,4,20,Travel_Frequently,80,No
1136,1,28,Male,Married,Y,Research & Development,Research Scientist,1,2,2,6,5,3,0,4,0,3201,19911,67,1451,17,0,No,3,1,1,1,1,Life Sciences,2,2,Travel_Rarely,80,No
1137,1,35,Male,Divorced,Y,Sales,Sales Executive,2,3,4,5,5,2,0,2,1,4968,18500,54,1182,11,1,No,3,4,3,4,2,Marketing,3,11,Travel_Frequently,80,No
1138,1,49,Male,Married,Y,Sales,Sales Executive,4,2,2,22,9,8,2,3,6,13120,11879,56,174,17,1,No,3,4,3,2,4,Technical Degree,3,8,Travel_Rarely,80,No
1140,1,34,Male,Single,Y,Research & Development,Manufacturing Director,2,3,3,5,3,2,0,2,2,4033,15834,95,1003,11,0,No,3,4,2,4,2,Life Sciences,3,2,Travel_Frequently,80,No
1143,1,29,Female,Divorced,Y,Research & Development,Research Scientist,1,3,2,8,7,5,1,1,0,3291,17940,61,490,14,2,No,3,4,2,4,3,Life Sciences,2,10,Travel_Frequently,80,No
1148,1,42,Male,Single,Y,Research & Development,Laboratory Technician,2,1,4,16,1,0,0,0,4,4272,9558,56,188,19,0,No,3,2,3,1,3,Medical,3,29,Travel_Rarely,80,No
1150,1,29,Male,Married,Y,Research & Development,Manufacturing Director,2,2,4,10,10,7,1,2,1,5056,17689,79,718,15,1,Yes,3,2,2,3,1,Medical,2,8,Travel_Rarely,80,No
1152,1,38,Male,Married,Y,Human Resources,Human Resources,1,4,3,7,7,6,5,0,1,2844,6004,37,433,13,1,No,3,3,4,4,3,Human Resources,2,1,Travel_Rarely,80,No
1154,1,28,Male,Divorced,Y,Research & Development,Research Scientist,1,2,3,3,3,1,0,2,1,2703,22088,39,773,14,1,Yes,3,3,3,4,3,Life Sciences,2,6,Travel_Frequently,80,No
1156,1,18,Male,Single,Y,Research & Development,Laboratory Technician,1,3,3,0,0,0,0,0,1,1904,13556,80,247,12,0,No,3,3,3,4,1,Medical,0,8,Non-Travel,80,Yes
1157,1,33,Female,Single,Y,Sales,Sales Executive,2,3,1,6,5,2,0,3,0,8224,18385,77,603,17,0,Yes,3,1,3,1,4,Marketing,3,9,Travel_Rarely,80,Yes
1158,1,41,Male,Married,Y,Research & Development,Laboratory Technician,1,3,4,6,1,0,0,0,3,4766,9051,46,167,11,1,Yes,3,2,3,1,4,Life Sciences,4,12,Travel_Rarely,80,No
1160,1,31,Male,Married,Y,Research & Development,Laboratory Technician,1,3,3,2,2,2,2,2,1,2610,6233,72,874,12,1,No,3,3,2,3,3,Medical,5,15,Travel_Frequently,80,Yes
1161,1,37,Female,Divorced,Y,Research & Development,Healthcare Representative,2,2,4,9,6,2,1,3,7,5731,17171,52,367,13,2,No,3,3,3,3,2,Medical,2,25,Travel_Rarely,80,No
1162,1,27,Male,Married,Y,Research & Development,Research Scientist,1,2,3,4,4,2,2,2,1,2539,7950,55,199,13,1,No,3,4,3,3,3,Life Sciences,0,6,Travel_Rarely,80,No
1163,1,34,Female,Married,Y,Sales,Sales Executive,2,3,3,6,6,5,1,3,1,5714,5829,70,1400,20,0,No,4,2,2,1,1,Life Sciences,3,9,Travel_Rarely,80,No
1164,1,35,Male,Single,Y,Human Resources,Human Resources,1,3,3,6,5,4,1,4,1,4323,7108,100,528,17,0,No,3,3,1,2,4,Technical Degree,2,8,Travel_Rarely,80,No
